USERID,CHECKTIME,CHECKTYPE,VERIFYCODE,SENSORID,WorkCode,sn,UserExtFmt
21,7/10/2010 1:55:37 PM,I,2,1,0,,
21,11/10/2010 7:22:39 AM,I,2,1,0,,
21,12/10/2010 7:42:17 AM,I,2,1,0,,
21,7/6/2011 11:27:52 AM,I,1,1,0,,
21,8/6/2011 8:25:01 AM,I,1,1,0,,
21,8/6/2011 5:29:05 PM,I,1,1,0,,
21,11/6/2011 8:00:12 AM,I,1,1,0,,
21,13/6/2011 8:08:04 AM,I,1,1,0,,
21,15/6/2011 8:19:55 AM,I,1,1,0,,
21,20/6/2011 8:09:08 AM,I,1,1,0,,
21,22/6/2011 8:57:56 AM,I,1,1,0,,
21,24/6/2011 8:50:58 AM,I,1,1,0,,
21,27/6/2011 8:32:34 AM,I,1,1,0,,
21,29/6/2011 8:58:29 AM,I,1,1,0,,
21,30/6/2011 9:01:29 AM,I,1,1,0,,
21,2/7/2011 8:48:50 AM,I,1,1,0,,
21,7/7/2011 9:24:34 AM,I,1,1,0,,
21,8/7/2011 9:01:11 AM,I,1,1,0,,
21,28/7/2011 9:05:40 AM,I,1,1,0,,
21,10/8/2011 7:56:30 AM,I,1,1,0,,
21,16/8/2011 7:26:25 AM,I,1,1,0,,
21,17/8/2011 9:10:42 AM,I,1,1,0,,
21,8/9/2011 7:44:57 AM,I,1,1,0,,
21,21/9/2011 8:07:15 AM,I,1,1,0,,
21,26/9/2011 8:47:24 AM,I,1,1,0,,
21,11/10/2011 8:00:46 AM,I,1,1,0,,
21,19/10/2011 8:14:33 AM,I,1,1,0,,
21,24/10/2011 8:35:34 AM,I,1,1,0,,
21,14/11/2011 8:12:57 AM,I,1,1,0,,
21,15/11/2011 8:03:08 AM,I,1,1,0,,
21,16/11/2011 8:13:02 AM,I,1,1,0,,
21,18/11/2011 8:05:41 AM,I,1,1,0,,
21,21/11/2011 8:05:28 AM,I,1,1,0,,
21,23/11/2011 7:58:15 AM,I,1,1,0,,
21,24/11/2011 7:27:21 AM,I,1,1,0,,
21,25/11/2011 8:10:35 AM,I,1,1,0,,
21,5/12/2011 8:23:00 AM,I,1,1,0,,
21,8/12/2011 7:07:09 AM,I,1,1,0,,
21,13/12/2011 8:19:15 AM,I,1,1,0,,
21,14/12/2011 8:19:39 AM,I,1,1,0,,
21,15/12/2011 8:14:06 AM,I,1,1,0,,
21,9/1/2012 7:46:58 AM,I,1,1,0,,
21,10/1/2012 8:29:12 AM,I,1,1,0,,
21,11/1/2012 8:44:34 AM,I,1,1,0,,
21,12/1/2012 9:06:41 AM,I,1,1,0,,
21,13/1/2012 7:25:43 AM,I,1,1,0,,
21,16/1/2012 8:13:07 AM,I,1,1,0,,
21,30/1/2012 7:58:04 AM,I,1,1,0,,
21,31/1/2012 7:59:10 AM,I,1,1,0,,
21,1/2/2012 8:08:40 AM,I,1,1,0,,
21,6/2/2012 8:23:27 AM,I,1,1,0,,
21,7/2/2012 8:11:13 AM,I,1,1,0,,
21,8/2/2012 8:39:27 AM,I,1,1,0,,
21,10/2/2012 8:09:28 AM,I,1,1,0,,
21,14/2/2012 8:29:08 AM,I,1,1,0,,
21,15/2/2012 9:12:35 AM,I,1,1,0,,
21,16/2/2012 8:10:20 AM,I,1,1,0,,
21,18/2/2012 10:06:16 AM,I,1,1,0,,
